Column1,Column2,Column3
@ndt_pu,@elonmusk,Tweet
@Trumpery45,@KawasakiKR11,Tweet
@Trumpery45,@ex_Tesla,Tweet
@Trumpery45,@WehbyJammin,Tweet
@Trumpery45,@MotzkiBerlin,Tweet
@Trumpery45,@XnprXx,Tweet
@Trumpery45,@ErikSdalen,Tweet
@Trumpery45,@whitfletcher,Tweet
@vikasrehan,@MusaTariq,Tweet
@PureTesla,@Lexor1969,Tweet
@GreatCrashO2018,@aviral75,Tweet
@GreatCrashO2018,@gritagirl,Tweet
@GreatCrashO2018,@elonmusk,Tweet
@AuPowerwall,@alexeckermann,Tweet
@jasonfenske13,@RaySavagePhoto,Tweet
@mytesladream,@Tesla,RT
@lilZesquo,@55true4u,Tweet
@An0nAKn0wledge,@codepink,Tweet
@emayteeteej,@Tesla,RT
@EarthAccounting,@mashable,Tweet
@EarthAccounting,@jalopnik,Tweet
@AmazingChevVolt,@fredericlambert,RT
@TeslaCharts,@Higgins4WNY,RT
@TeslaCharts,@elonmusk,RT
@TeslaCharts,@4xRevenue,RT
@Jason_Johnson24,@hiltzikm,Tweet
@bobb12901,@MusaTariq,Tweet
@shamiltech,@niels,Tweet
@CactusHorizon,@Tesla,Tweet
@GeffaOliveira,@MusaTariq,Tweet
@PJHORNAK,@John_Hempton,Tweet
@PJHORNAK,@tesla_truth,Tweet
@Jarrydram,@Tesla,RT
@Lovethewrenche1,@KPIXtv,RT
@alexeckermann,@AuPowerwall,Tweet
@VladGrischuk,@IlyaTrubn,RT
@lesshertmoreluv,@Tesla,RT
@jimmyestrada23,@Tesla,RT
@dirkgently,@WehbyJammin,Tweet
@sandrofacchin,@Tesla,RT
@jasonfried,@Tesla,RT
@jackdnoonan,@Tesla,RT
@AlinaBalan10,@IlyaTrubn,RT
@AlinaBalan10,@IlyaTrubn,Tweet
@KawasakiKR11,@Higgins4WNY,RT
@EvaUnitZero,@Tesla,Tweet
@InvestorNXTdoor,@Tesla,RT
@wbz,@KPIXtv,Tweet
@PMangiamele,@Tesla,RT
@Mark_Harrell,@Johnhamborg,Tweet
@walkingcrow,@Tesla,RT
@Stocksnpolitic1,@SenKennedy,Tweet
@M_A_Kuzma,@Jimg1126,Tweet
@SerahDillinger,@Jordan_Coombe,Tweet
@Kekenwealth,@KClerico,Tweet
@akidesir,@DeeLex_MCEM,Tweet
@akidesir,"@teslabros
Get",RT
@aitor_nup,@elonmusk,Tweet
@williamsthing,@ymz0r,Tweet
@LemorteKali,@Tesla,RT
@eden4peace,@LABizJournal,Tweet
@Hope_n_l_3,@Tesla,RT
@ashmoore1,@Tesla,Tweet
@Schwa0687,@CNET:,RT
@twacameron,@SnazzyQ,Tweet
@GCustom,@bdsams,Tweet
@AvaSchadt,@NCBirbhan,Tweet
@ICannot_Enough,@4xRevenue,Tweet
@kathybre,@MusaTariq,Tweet
@gls_energy,@TeslaCharts,RT
@gls_energy,@SenKennedy,RT
@Siddraah,@Tesla,RT
@Tesla90801351,@28delayslater,Tweet
@MariferMC2,@Tesla,RT
@Cloe_Forland,@SpaceX's,RT
@YawConnect,@Nik0la__Tesla,Tweet
@S_Padival,@Tesla,RT
@sibiriaTV,@amigo7761,RT
@sibiriaTV,@RaidenBroKo,RT
@duckdog_inc,@elonmusk,Tweet
@cneallacroix,@elonmusk's,RT
@TrCCper,@_DeeMak,Tweet
@painfulshort,@SenKennedy,RT
@marvelwonderkat,@mojosusan,Tweet
@marvelwonderkat,@SpaceX,Tweet
@marvelwonderkat,@WadeAndersonPT,Tweet
@kabzj,@starkness,Tweet
@dtcjrenergy,@EricHolthaus,RT
@MarikoSanoUSA,@fredericlambert,RT
@ravenvanderrave,@YouTube,RT
@ravenvanderrave,@SenKennedy,RT
@ravenvanderrave,@Tesla,RT
@ShortingIsFun,.@tesla,RT
@inursha,@elonmusk,Tweet
@ClarkDennisM,@Starlight_Energ,Tweet
@ClarkDennisM,@YouTube,Tweet
@ClarkDennisM,@perk,Tweet
@Palmtown99,@GerberKawasaki,RT
@Dylboettcher,@LunkersTV,Tweet
@not_tesla_ok,@anniecfree,Tweet
@TwittaDhee,@YouTube,RT
@EveryoneSaysHi1,@elonmusk,RT
@aija_tweet,@UpUpUp24223983,Tweet
@aija_tweet,@tesla_truth,Tweet
@JHistorybuff27,@Techgnostik,Tweet
@fakeezzie,@SteveRickettsSP,Tweet
@SkepticEverywh1,@elonmusk,RT
@SkepticEverywh1,@ravenvanderrave,Tweet
@sabinmarketing,@YouTube,RT
@librab103,@elonmusk,RT
@librab103,@marshgre,Tweet
@librab103,@gravityrydr,Tweet
@librab103,@ravenvanderrave,Tweet
@librab103,@4xRevenue,RT
@librab103,@eddiemac3356,Tweet
@librab103,@mortenlund89,Tweet
@librab103,@TriTexan,Tweet
@librab103,@BMW,RT
@librab103,@Tesla,RT
@_DeeMak,@TrCCper,Tweet
@whitfletcher,@XAu,RT
@whitfletcher,@MusksFUDetector,Tweet
@MASMER6,@cnni,Tweet
@Vdelshire,@Tesla,Tweet
@WantToDieOnMars,@GerberKawasaki,Tweet
@hosedby11,@CNN,RT
@sensarpensar,@e_doucette,Tweet
@sensarpensar,@yabishyabish3,Tweet
@zachary1978,@siddfinance,Tweet
@zachary1978,@Tesla,RT
@robtay,@JimLilly6,Tweet
@themicrx,@elonmusk,RT
@themicrx,@Higgins4WNY,RT
@themicrx,@Tesla,RT
@Sea_Media_Lab,@SPACEdotcom,Tweet
@Louisbotelho17,@CharlieBravo33,Tweet
@Kingali00,@Tesla,Tweet
@Kingali00,@elonmusk,Tweet
@HedgeyeIndstrls,@elonmusk,RT
@passthebeano,@hiltzikm,Tweet
@TruePatriot2017,@paulapoundstone,Tweet
@Critttr,@tesla_truth,Tweet
@mattjeanes23,@Tesla,Tweet
@totaldeegaming,@WoodBoxWorld,Tweet
@ArkangelScrap,"@Tesla,",RT
@GaryMil61532928,@elonmusk,Tweet
@The_PlugSeeker,@LikeTeslaKim,Tweet
@The_PlugSeeker,@lexiheft,RT
@The_PlugSeeker,@Tesla,RT
@The_PlugSeeker,@MyTeslaAdventur,RT
@brahimP49673446,@elonmusk,Tweet
@Benshooter,(jonathan.gitlin@arstechnica.com),RT
@FalconWingFail,@ValueExpected,Tweet
@MyTeslaBE,@fredericlambert,Tweet
@GeoffdBarrett,@SpaceX,Tweet
@StockJoke,@elonmusk,RT
@ofhdirector,.@SenKennedy,Tweet
@thdivewhisperer,@Davemorton111,Tweet
@userTabby,@the_geofry,Tweet
@userTabby,@NSylveon,Tweet
@mghali89,@StrikMichael,RT
@ElectrekCo,@fredericlambert,Tweet
@jeffjthompson,@LiveScience,Tweet
@GrainSurgeon,@JTSEO9,Tweet
@CoverDrive12,@Tesla_Bear,Tweet
@CoverDrive12,@macmover,Tweet
@CoverDrive12,@ValueAnalyst1,Tweet
@MFDMT23,@elonmusk,Tweet
@funnyolelife,@markpoloncarz,Tweet
@the_geofry,@userTabby,Tweet
@awraynor,@paulbraren,Tweet
@sajidk32,@elonmusk,RT
@jimmybobby1110,@elonmusk,Tweet
@Aidanavalanche,@Tesla,RT
@Polixenes13,@fly4dat,Tweet
@iHateTonySaez,@elonmusk,Tweet
@0rangeCru5h,@witwwos,Tweet
@0rangeCru5h,@danforhan,RT
@MooseDriverMT,@TeslaCharts,RT
@fly4dat,@Polixenes13,Tweet
@fly4dat,@MyTsla,Tweet
@alanlcit,@JeromeJaccard,Tweet
@EddieD92190900,@GregKable,Tweet
@MickZed63,@Tesla,RT
@NolRox,@elonmusk,Tweet
@LNoosie,@elonmusk,Tweet
@callstevecurtis,@LATimes,Tweet
@NSylveon,@userTabby,Tweet
@jamesgreensmail,@ajworner12,Tweet
@hummingbird228,@sdmoores,Tweet
@hummingbird228,@elonmusk,Tweet
@stephenpallotta,@tesla,RT
@MusksFUDetector,@GrainSurgeon,Tweet
@MusksFUDetector,@tesla_truth,Tweet
@MusksFUDetector,@sensarpensar,Tweet
@daniel63103646,@tesla,RT
@daniel63103646,@F,RT
@WhatdoesY,@kwilli1046,Tweet
@AngelNDevil2,@Viidakkotimppa,Tweet
@AngelNDevil2,@BonaireVolt,Tweet
@DrDave85,@Tesla,RT
@tir3ds0ul,@elonmusk,Tweet
@mojosusan,@ridethelight216,Tweet
@mojosusan,@marvelwonderkat,Tweet
@mojosusan,@WadeAndersonPT,Tweet
@interferenceBa2,@ThisIsROCK2019,Tweet
@omarqazi,@FactoryGated,Tweet
@VuryFurryBur,@vincent13031925,RT
@marsbeyond,@elonmusk,RT
@marsbeyond,@Tesla,RT
@Michaelsully,@RossGoober,Tweet
@NubTheGuest,@bingocat1994,Tweet
@mattb678,@mashable,Tweet
@Grimes619,@karanbirtinna,Tweet
@PlanoDallasOne,@kpdcamaro,Tweet
@waihigakmuturi,@cnbcmakeit,Tweet
@jgkoomey,@Tesla,RT
@willdab88737719,@MediumFidelity,Tweet
@LearnLoveCars,@Kia,RT
@peaceinamerica1,@VOnline46,Tweet
@RossGoober,@Michaelsully,Tweet
@mightyphine,@realDonaldTrump's,RT
@JamesClune19,@ChrisAplin,Tweet
@TomiKazi,@Hashtaggiting,Tweet
@TomiKazi,@MusaTariq,Tweet
@marshgre,@tesla_truth,RT
@marshgre,@audi,RT
@marshgre,@librab103,Tweet
@SiddharAgathiya,@elonmusk,Tweet
@ffa530,@KamalaHarris,Tweet
@ZugarPlume,@tinashakour,Tweet
@SuzyD_313,@schristakos,Tweet
@SuzyD_313,@aviral75,Tweet
@SuzyD_313,@annettehunter77,Tweet
@ParallelRealitE,@elonmusk's,RT
@MattMillerCubed,@SeBsZ,RT
@MattMillerCubed,@TeslaNY,Tweet
@mcoville,@elonmusk,RT
@kolbytweetsshit,@elonmusk,Tweet
@mystealthXflies,@teslaownersSV,Tweet
@mystealthXflies,@marvelwonderkat,Tweet
@mystealthXflies,@marieluciesecr1,Tweet
@JayHouston,@Tesla,RT
@ridethelight216,@mojosusan,Tweet
@ridethelight216,@tesla_truth,Tweet
@ridethelight216,@ron_kerensky,Tweet
@ridethelight216,@evmom111,Tweet
@lazyload,@MusaTariq,Tweet
@JRTIDroneShip,@Tesla_Starman,Tweet
@morisatwine,@Tesla,RT
@ElonsWorld,@tesla,RT
@awakeinks,@EricHolthaus,Tweet
@scot_work,@KuyaAlfie,RT
@scot_work,@tesla,RT
@scot_work,@Tesla,RT
@scot_work,@StrikMichael,Tweet
@scot_work,@elonmusk,RT
@scot_work,@BoomFantasyCEO,RT
@scot_work,(jonathan.gitlin@arstechnica.com),RT
@HuskersII,@Avikl7,Tweet
@DOfaquarius,@ClarkDennisM,RT
@DOfaquarius,@tesla,RT
@perk,@ClarkDennisM,Tweet
@DodoVsJack,@DodoVsJack,RT
@sydney_ev,@AuPowerwall,Tweet
@sydney_ev,@EforElectric,Tweet
@MountainRatMatt,@Tweetermeyer,Tweet
@sanyeemunter,@elonmusk,RT
@Zekeboy4,@MusaTariq,Tweet
@basiljh,@JTSEO9,Tweet
@jaqsinatra,@Tesla,RT
@ZJlover1994,@MusaTariq,Tweet
@marvelcomicsgot,@elonmusk,Tweet
@falafeldiaper1,@trader51,Tweet
@falafeldiaper1,@TBrown88661572,Tweet
@falafeldiaper1,@CARandDRIVER,Tweet
@falafeldiaper1,@Kia,RT
@87spider,@bonnienorman,Tweet
@87spider,@DanTelvock,Tweet
@TurnedOn2Rock,@HobChicago.,RT
@OldsLouis,@Tesla,RT
@Sling35419208,@OppayahTwitR,Tweet
@EthicsGradient,@DeeLex_MCEM,Tweet
@fjkodikddngs,@mgoblueabq,Tweet
@fjkodikddngs,@Hashtaggiting,Tweet
@TomJMurray65,@JordanM01946276,Tweet
@Hashtaggiting,@fjkodikddngs,Tweet
@Hashtaggiting,@elonmusk,Tweet
@Hashtaggiting,@frankheven,Tweet
@elka_wildlyne,@Tesla,Tweet
@emanresufitz,@MrTrumpLA,Tweet
@marieluciesecr1,@mojosusan,Tweet
@marieluciesecr1,@mystealthXflies,Tweet
@mjd1735,@Halsrethink,Tweet
@julesbilodeau,@SnazzyQ,Tweet
@ProfRayWills,@Tesla,Tweet
@kngkl,@Xiaomi,RT
@JeremyGreenlee,@JohnEG78,Tweet
@SDFilmThoughts,@AlamoLauren,Tweet
@mkvizag,@rstefani11,Tweet
@VandelayIndust9,@OnYourLeftDC,Tweet
@Namankumar52,@Tesla,Tweet
@Tesla_LA,"ahead.
@Hedgeye",RT
@whereisroadster,@elonmusk,RT
@LifeAsPatel,@Tesla,RT
@mackenzielallo,@ShortingIsFun,Tweet
@Naveenkb1999,@SnazzyQ,Tweet
@rf_amplifier,@MusaTariq,Tweet
@justinogarrity,@Tesla,RT
@darby82,@Tesla,RT
@rokro111,@ResistanceGold1,Tweet
@sabotagebeats,@Tesla,RT
@cdman31,@HobChicago.,RT
@chadzappa,@MusaTariq,Tweet
@NCBirbhan,@elonmusk,RT
@NCBirbhan,@Inelonwetrust__,Tweet
@dospurity,@alec_tesla,Tweet
@TruthSeekerZach,@carpenter_maas,Tweet
@KKHoliday6,@SuzyD_313,Tweet
@KKHoliday6,@schristakos,Tweet
@DJX7734,@tesla_truth,Tweet
@nate_mccomb,@Tesla,Tweet
@Aptos_Capital,@tesla,RT
@Aptos_Capital,@Tesla,RT
@stevineleven,@CPFeimster,Tweet
@CanabalOsky,@elonmusk,RT
@FutureWorldLife,@Tesla,RT
@shivkuma_k,@YouTube,Tweet
@shivkuma_k,@TeslaModel3,Tweet
@SeniDore,@voiture_elec,Tweet
@lost_in_NYC__,@SteveWestly,Tweet
@teslaagirl,@BradBerman,Tweet
@teslaagirl,@WaitingForTesla,Tweet
@eslinxt,@EPWGOP,Tweet
@evileconboy,@ICannot_Enough,Tweet
@gortnacory,@harper,Tweet
@SIMSIMSOSA,@SIMSIMSOSA,RT
@Asgardian101,@elonmusk's,RT
@TTSFDCC,@MelaynaLokosky,Tweet
@TTSFDCC,@BertelSchmitt,Tweet
@MrChristianCafe,@Tesla,RT
@a_ohkillem,@Tesla,RT
@lalauraru777,@MailOnline,Tweet
@WehbyJammin,@CodyRenshaw,Tweet
@JulianBanks65,@MannyDestura,Tweet
@EvGBeats,@Tesla,RT
@enscand,@KClerico,Tweet
@AmbusAlonzo,@KTHopkins,Tweet
@the__ozz,@elonmusk.,Tweet
@FerBeretta,@elonmusk,Tweet
@Inelonwetrust__,@AvaSchadt,Tweet
@newbury_eric,@elonmusk's,RT
@TheAdaptedMind,@SenKennedy,RT
@TheAdaptedMind,@TeslaCharts,RT
@tdpassley,@TeslaBand,Tweet
@GilmorSye,@Tesla,RT
@MreAfsar,@teslainventory,Tweet
@ncsumi,@jalopnik,Tweet
@voyagevixen,@DHilchie,Tweet
@voyagevixen,@PluginAlberta,RT
@voyagevixen,@PluginAlberta,Tweet
@KingKillFilms,@skitzsanis,Tweet
@QueenOfOddness,@teslainventory,RT
@bitninjasupply,@Hydeez411,Tweet
@TakeoverTalk,@Tesla,Tweet
@BLSmith2112,@elonmusk,Tweet
@BLSmith2112,@SpaceX,Tweet
@BLSmith2112,@Tony4WI,Tweet
@armyofplanters,@SenKennedy,RT
@TurtleFiery,@TeslaCharts,RT
@flufferbot01,@TeslaCharts,Tweet
@flufferbot01,(jonathan.gitlin@arstechnica.com),RT
@divygarg,@Tesla,RT
@SRodgerBock,@SpaceX,RT
@skitzsanis,@KingKillFilms,Tweet
@matjen1,@bpsandpieces,Tweet
@efusco,@YouTube,Tweet
@lrbarrit,@SPACEdotcom,Tweet
@neojoda,@Teslarati,Tweet
@pipuis,@YouTube,Tweet
@RK80051Connor,@elonmusk,Tweet
@Commandtechno,@RenataKonkoly,Tweet
@ioanna_dim88,@ajworner12,Tweet
@AdilG,@fredericlambert,RT
@56Collective,@elonmusk,Tweet
@shortword,@DeanFieldingF1,Tweet
@lucilaalmiron1,@Tesla,RT
@shopaholic177,@teslainventory,Tweet
@rjo71342,@CARandDRIVER,Tweet
@DeanFieldingF1,@shortword,Tweet
@HectorUlisesPd,@Tesla,RT
@TDanevirke,@MailOnline,Tweet
@tesla_truth,@MusksFUDetector,Tweet
@tesla_truth,@RobertAuers,Tweet
@tesla_truth,@Luckyst55928796,Tweet
@MorshedHBhuiyan,@Tesla,RT
@NuovaRealta,@beacrazyjar,Tweet
@NuovaRealta,@tesla_truth,Tweet
@NuovaRealta,@Hein_The_Sayer,Tweet
@NuovaRealta,@helpinghand1111,Tweet
@NuovaRealta,@tesla,RT
@NuovaRealta,@Tesla,RT
@stoopered,@elonmusk,Tweet
@jandydill,@JohnGrahamDick1,Tweet
@Sofiaan,@JasonDe22001914,Tweet
@Sofiaan,@Tesla!,Tweet
@CoWildlifePhoto,@elonmusk's,RT
@bonnienorman,@parsimony16,Tweet
@JasonDe22001914,@Sofiaan,Tweet
@WadeAndersonPT,@mojosusan,Tweet
@WadeAndersonPT,@SpaceRangerDash,Tweet
@WadeAndersonPT,@ChefErikaS,Tweet
@WadeAndersonPT,@NuovaRealta,Tweet
@Herebus_,@DunkenKBliths,Tweet
@Rec1pr0city,@BarkMSmeagol,Tweet
@CanadianFarter,@elonmusk,Tweet
@GrecoMonroyR,@Tesla,Tweet
@fleejoven,@imjessbeinreal,Tweet
@TitoElBandito,@TeslaCharts,RT
@TitoElBandito,@Tesla,RT
@RealKateTurner,@nytimes,Tweet
@bitethepower,@HoarseWisperer,Tweet
@Hobbz13,@fredericlambert,RT
@JohnTay20173208,@StrikMichael,Tweet
@RepScottPeters,@Maxwell_Tech,Tweet
@crankytraveler,@elonmusk,Tweet
@Viidakkotimppa,@JazzincDioramas,Tweet
@Rxcless_Rashy,@elonmusk,Tweet
@Scott1shAlex,@Tesla,Tweet
